pertanyaan,jawaban
"Apa nama seni bela diri tradisional dari Yunani?","Pankration"
"Apa nama festival yang terkenal di Yunani?","Festival Athena dan Epidaurus"
"Apa nama tarian tradisional dari Yunani?","Sirtaki"
"Apa nama minuman khas dari Yunani?","Ouzo"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Belanda?","Amsterdam"
"Apa nama alat musik tradisional dari Belanda?","Akordeon"
"Apa nama seni bela diri tradisional dari Belanda?","Karate"
"Apa nama festival yang terkenal di Belanda?","Hari Raja"
"Apa nama tarian tradisional dari Belanda?","Tarian Rakyat Belanda"
"Apa nama minuman khas dari Belanda?","Gin"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Belgia?","Brussel"
"Apa nama alat musik tradisional dari Belgia?","Akordeon"
"Apa nama seni bela diri tradisional dari Belgia?","Karate"
"Apa nama festival yang terkenal di Belgia?","Festival Brussel"
"Apa nama tarian tradisional dari Belgia?","Tarian Flandria"
"Apa nama minuman khas dari Belgia?","Bir"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Swiss?","Bern"
"Apa nama alat musik tradisional dari Swiss?","Alpenhorn"
"Apa nama seni bela diri tradisional dari Swiss?","Schwingen"
"Apa nama festival yang terkenal di Swiss?","Festival Gurten"
"Apa nama tarian tradisional dari Swiss?","Tarian Rakyat Swiss"
"Apa nama minuman khas dari Swiss?","Absinth"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Austria?","Wina"
"Apa nama alat musik tradisional dari Austria?","Zither"
"Apa nama seni bela diri tradisional dari Austria?","Karate"
"Apa nama festival yang terkenal di Austria?","Festival Film Wina"
"Apa nama tarian tradisional dari Austria?","Waltz"
"Apa nama minuman khas dari Austria?","Wine"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Swedia?","Stockholm"
"Apa nama alat musik tradisional dari Swedia?","Nyckelharpa"
"Apa nama seni bela diri tradisional dari Swedia?","Judo"
"Apa nama festival yang terkenal di Swedia?","Festival Midsummer"
"Apa nama tarian tradisional dari Swedia?","Tarian Rakyat Swedia"
"Apa nama minuman khas dari Swedia?","Vodka"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Norwegia?","Oslo"
"Apa nama alat musik tradisional dari Norwegia?","Hardanger fiddle"
"Apa nama seni bela diri tradisional dari Norwegia?","Judo"
"Apa nama festival yang terkenal di Norwegia?","Festival Musik Oslo"
"Apa nama tarian tradisional dari Norwegia?","Halling"
"Apa nama minuman khas dari Norwegia?","Akvavit"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Finlandia?","Helsinki"
"Apa nama alat musik tradisional dari Finlandia?","Kantele"
"Apa nama seni bela diri tradisional dari Finlandia?","Judo"
"Apa nama festival yang terkenal di Finlandia?","Festival Musik Helsinki"
"Apa nama tarian tradisional dari Finlandia?","Tarian Rakyat Finlandia"
"Apa nama minuman khas dari Finlandia?","Vodka"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Denmark?","Kopenhagen"
"Apa nama alat musik tradisional dari Denmark?","Lira"
"Apa nama seni bela diri tradisional dari Denmark?","Judo"
"Apa nama festival yang terkenal di Denmark?","Festival Roskilde"
"Apa nama tarian tradisional dari Denmark?","Tarian Rakyat Denmark"
"Apa nama minuman khas dari Denmark?","Akvavit"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Islandia?","Reykjavik"
"Apa nama alat musik tradisional dari Islandia?","Langspil"
"Apa nama seni bela diri tradisional dari Islandia?","Judo"
"Apa nama festival yang terkenal di Islandia?","Festival Musik Reykjavik"
"Apa nama tarian tradisional dari Islandia?","Tarian Rakyat Islandia"
"Apa nama minuman khas dari Islandia?","Brennivín"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Irlandia?","Dublin"
"Apa nama alat musik tradisional dari Irlandia?","Harpa Irlandia"
"Apa nama seni bela diri tradisional dari Irlandia?","Judo"
"Apa nama festival yang terkenal di Irlandia?","Hari St. Patrick"
"Apa nama tarian tradisional dari Irlandia?","Tarian Irlandia"
"Apa nama minuman khas dari Irlandia?","Guinness"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Skotlandia?","Edinburgh"
"Apa nama alat musik tradisional dari Skotlandia?","Bagpipe"
"Apa nama seni bela diri tradisional dari Skotlandia?","Judo"
"Apa nama festival yang terkenal di Skotlandia?","Festival Edinburgh"
"Apa nama tarian tradisional dari Skotlandia?","Tarian Ceilidh"
"Apa nama minuman khas dari Skotlandia?","Whisky"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Wales?","Cardiff"
"Apa nama alat musik tradisional dari Wales?","Harpa Wales"
"Apa nama seni bela diri tradisional dari Wales?","Judo"
"Apa nama festival yang terkenal di Wales?","Festival Nasional Wales"
"Apa nama tarian tradisional dari Wales?","Tarian Rakyat Wales"
"Apa nama minuman khas dari Wales?","Beer"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Tiongkok?","Beijing"
"Apa nama alat musik tradisional dari Tiongkok?","Erhu"
"Apa nama seni bela diri tradisional dari Tiongkok?","Kung Fu"
"Apa nama festival yang terkenal di Tiongkok?","Festival Musim Semi"
"Apa nama tarian tradisional dari Tiongkok?","Tarian Naga"
"Apa nama minuman khas dari Tiongkok?","Teh"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Jepang?","Tokyo"
"Apa nama alat musik tradisional dari Jepang?","Shakuhachi"
"Apa nama seni bela diri tradisional dari Jepang?","Judo"
"Apa nama festival yang terkenal di Jepang?","Festival Hanami"
"Apa nama tarian tradisional dari Jepang?","Tarian Kabuki"
"Apa nama minuman khas dari Jepang?","Sake"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Korea Selatan?","Seoul"
"Apa nama alat musik tradisional dari Korea Selatan?","Gayageum"
"Apa nama seni bela diri tradisional dari Korea Selatan?","Taekwondo"
"Apa nama festival yang terkenal di Korea Selatan?","Festival Lampion"
"Apa nama tarian tradisional dari Korea Selatan?","Tarian Kipas"
"Apa nama minuman khas dari Korea Selatan?","Soju"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Korea Utara?","Pyongyang"
"Apa nama alat musik tradisional dari Korea Utara?","Janggu"
"Apa nama seni bela diri tradisional dari Korea Utara?","Taekwondo"
"Apa nama festival yang terkenal di Korea Utara?","Festival Arirang"
"Apa nama tarian tradisional dari Korea Utara?","Tarian Rakyat Korea Utara"
"Apa nama minuman khas dari Korea Utara?","Soju"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Mongolia?","Ulaanbaatar"
"Apa nama alat musik tradisional dari Mongolia?","Morin Khuur"
"Apa nama seni bela diri tradisional dari Mongolia?","Gulat Mongolia"
"Apa nama festival yang terkenal di Mongolia?","Festival Naadam"
"Apa nama tarian tradisional dari Mongolia?","Tarian Bii"
"Apa nama minuman khas dari Mongolia?","Airag"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Kazakhstan?","Astana"
"Apa nama alat musik tradisional dari Kazakhstan?","Dombyra"
"Apa nama seni bela diri tradisional dari Kazakhstan?","Gulat Kazakhstan"
"Apa nama festival yang terkenal di Kazakhstan?","Festival Nasional Kazakhstan"
"Apa nama tarian tradisional dari Kazakhstan?","Tarian Rakyat Kazakhstan"
"Apa nama minuman khas dari Kazakhstan?","Kumys"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Uzbekistan?","Tashkent"
"Apa nama alat musik tradisional dari Uzbekistan?","Dutar"
"Apa nama seni bela diri tradisional dari Uzbekistan?","Gulat Uzbekistan"
"Apa nama festival yang terkenal di Uzbekistan?","Festival Sutra dan Rempah-rempah"
"Apa nama tarian tradisional dari Uzbekistan?","Tarian Rakyat Uzbekistan"
"Apa nama minuman khas dari Uzbekistan?","Teh Hijau"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Kirgizstan?","Bishkek"
"Apa nama alat musik tradisional dari Kirgizstan?","Komuz"
"Apa nama seni bela diri tradisional dari Kirgizstan?","Gulat Kirgizstan"
"Apa nama festival yang terkenal di Kirgizstan?","Festival Rakyat Kirgizstan"
"Apa nama tarian tradisional dari Kirgizstan?","Tarian Rakyat Kirgizstan"
"Apa nama minuman khas dari Kirgizstan?","Kumys"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Tajikistan?","Dushanbe"
"Apa nama alat musik tradisional dari Tajikistan?","Dutar"
"Apa nama seni bela diri tradisional dari Tajikistan?","Gulat Tajikistan"
"Apa nama festival yang terkenal di Tajikistan?","Festival Musik Rakyat Tajikistan"
"Apa nama tarian tradisional dari Tajikistan?","Tarian Rakyat Tajikistan"
"Apa nama minuman khas dari Tajikistan?","Teh Hijau"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Turkmenistan?","Ashgabat"
"Apa nama alat musik tradisional dari Turkmenistan?","Dutar"
"Apa nama seni bela diri tradisional dari Turkmenistan?","Gulat Turkmenistan"
"Apa nama festival yang terkenal di Turkmenistan?","Festival Nasional Turkmenistan"
"Apa nama tarian tradisional dari Turkmenistan?","Tarian Rakyat Turkmenistan"
"Apa nama minuman khas dari Turkmenistan?","Teh Hijau"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Afghanistan?","Kabul"
"Apa nama alat musik tradisional dari Afghanistan?","Rubab"
"Apa nama seni bela diri tradisional dari Afghanistan?","Buzkashi"
"Apa nama festival yang terkenal di Afghanistan?","Festival Nouruz"
"Apa nama tarian tradisional dari Afghanistan?","Tarian Atan"
"Apa nama minuman khas dari Afghanistan?","Teh Hijau"
"Siapa nama penulis novel 'The Old Man and the Sea'?","Ernest Hemingway"
"Apa nama ibukota dari negara Iran?","Teheran"
"Apa nama alat musik tradisional dari Iran?","Santoor"
"Apa nama seni bela diri tradisional dari Iran?","Varzesh-e Pahlavani"
"Apa nama festival yang terkenal di Iran?","Festival Nouruz"
"Apa nama tarian tradisional dari Iran?","Tarian Sufi"
"Apa nama minuman khas dari Iran?","Sharbati"
"Siapa nama penulis novel 'The Picture of Dorian Gray'?","Oscar Wilde"
"Apa nama ibukota dari negara Irak?","Baghdad"
"Apa nama alat musik tradisional dari Irak?","Oud"
"Apa nama seni bela diri tradisional dari Irak?","Karate"
"Apa nama festival yang terkenal di Irak?","Festival Seni Internasional Baghdad"
"Apa nama tarian tradisional dari Irak?","Tarian Rakyat Irak"
"Apa nama minuman khas dari Irak?","Teh"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Suriah?","Damaskus"
"Apa nama alat musik tradisional dari Suriah?","Oud"
"Apa nama seni bela diri tradisional dari Suriah?","Karate"
"Apa nama festival yang terkenal di Suriah?","Festival Seni Internasional Damaskus"
"Apa nama tarian tradisional dari Suriah?","Tarian Rakyat Suriah"
"Apa nama minuman khas dari Suriah?","Teh"
"Siapa nama penulis novel 'The Catcher in the Rye'?","J.D. Salinger"
"Apa nama ibukota dari negara Lebanon?","Beirut"
"Apa nama alat musik tradisional dari Lebanon?","Oud"
"Apa nama seni bela diri tradisional dari Lebanon?","Karate"
"Apa nama festival yang terkenal di Lebanon?","Festival Internasional Beirut"
"Apa nama tarian tradisional dari Lebanon?","Tarian Rakyat Lebanon"
"Apa nama minuman khas dari Lebanon?","Arak"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Yordania?","Amman"
"Apa nama alat musik tradisional dari Yordania?","Oud"
"Apa nama seni bela diri tradisional dari Yordania?","Karate"
"Apa nama festival yang terkenal di Yordania?","Festival Internasional Jerash"
"Apa nama tarian tradisional dari Yordania?","Tarian Rakyat Yordania"
"Apa nama minuman khas dari Yordania?","Teh"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Israel?","Yerusalem"
"Apa nama alat musik tradisional dari Israel?","Kinnor"
"Apa nama seni bela diri tradisional dari Israel?","Krav Maga"
"Apa nama festival yang terkenal di Israel?","Festival Internasional Yerusalem"
"Apa nama tarian tradisional dari Israel?","Tarian Rakyat Israel"
"Apa nama minuman khas dari Israel?","Anggur"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Palestina?","Ramallah"
"Apa nama alat musik tradisional dari Palestina?","Oud"
"Apa nama seni bela diri tradisional dari Palestina?","Karate"
"Apa nama festival yang terkenal di Palestina?","Festival Internasional Palestina"
"Apa nama tarian tradisional dari Palestina?","Tarian Rakyat Palestina"
"Apa nama minuman khas dari Palestina?","Arak"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Siprus?","Nicosia"
"Apa nama alat musik tradisional dari Siprus?","Oud"
"Apa nama seni bela diri tradisional dari Siprus?","Karate"
"Apa nama festival yang terkenal di Siprus?","Festival Internasional Siprus"
"Apa nama tarian tradisional dari Siprus?","Tarian Rakyat Siprus"
"Apa nama minuman khas dari Siprus?","Ouzo"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"apa warna langit?","Biru muda di siang hari, jingga saat senja."
"siapa presiden indonesia sekarang?","Prabowo Subianto menjabat mulai 2024."
"berapa hasil 25 x 4?","100"
"apa ibu kota jepang?","Tokyo"
"siapa penemu bola lampu?","Thomas Edison"
"bahasa resmi brazil apa?","Portugis"
"berapa 15 + 28?","43"
"planet terbesar di tata surya apa?","Jupiter"
"siapa penulis novel Laskar Pelangi?","Andrea Hirata"
"apa simbol kimia perak?","Ag"
"berapa sisi segitiga?","3"
"hewan tercepat di darat apa?","Cheetah"
"siapa ilmuwan teori relativitas?","Albert Einstein"
"apa ibu kota mesir?","Kairo"
"berapa 9 kuadrat?","81"
"siapa penemu telepon?","Alexander Graham Bell"
"apa bahasa resmi jerman?","Jerman"
"berapa 7! (faktorial)?","5040"
"ibu kota kanada apa?","Ottawa"
"siapa tokoh utama Naruto?","Naruto Uzumaki"
"berapa 144 dibagi 12?","12"
"ibu kota thailand apa?","Bangkok"
"siapa penulis Harry Potter?","J.K. Rowling"
"berapa 1000 - 333?","667"
"planet terdekat dari matahari?","Merkurius"
"aku bingung","bingung kenapa? ada aku disini"
"bagaimana kabarmu","Kabar ku baik"
"kamu tau sekolah smk wira buana?","Ya, saya tau sekolah SMK Wira Buana terletak di Pabuaran, Bojonggede, Bogor dengan ada beberapa pelajaran kejurusan Rekayasa perangkat lunak, Teknik komputer jaringan, Teknik kendaraan ringan otomotif, Teknik bisnis sepeda motor, Akuntansi, Perkantoran, Desain komunikasi visual, dan BDP jika kamu ingin menanyakan tentang sekolah tersebut jangan ragu untuk bertanya!"
"sekolah tansyitul mutaalimin terletak dimana","sekolah Tansyitul Muta'alimin terletak Kampung pintu air di Pabuaran, Bojonggede, Bogor dengan sekolah RA, MI, MTS, dan MA. Jika ada informasi lebih lanjut silahkan hubungi pihak sekolah"
"Siapa saja anggota kelompok 3 rpl?"," Muhammad Alif Hariyanto, Rahmansyah gemilang, Muhammad Faris, Januar Aulia, Tiyas Andini sari, Sarah shabirah"
"Siapa ketua kelompok mu?","Muhammad Alif Hariyanto"
"Apa yang paling menyenangkan saat bekerja bersama kelompok 3 rpl?","mendengar Maman yapping, kompak, ada Alif, anggotanya gemes gemes"
"Bagaimana cara kelompokmu menyelesaikan konflik?","Menutup mulut maman"
"Apa nama proyek yang dikerjakan kelompokmu?","FX intelligence"
"Siapa yang bertugas sebagai programmer utama?","Muhammad Alif Hariyanto"
"Apa teknologi yang digunakan oleh kelompok ini?","HTML, CSS, JAVASCRIPT, CSV, Python"
"Siapa saja anggota kelompok 3 rpl?"," Muhammad Alif Hariyanto, Rahmansyah gemilang, Muhammad Faris, Januar Aulia, Tiyas Andini sari, Sarah shabirah"
"Siapa ketua kelompok mu?","Muhammad Alif Hariyanto"
"Apa yang paling menyenangkan saat bekerja bersama kelompok 3 rpl?","mendengar Maman yapping, kompak, ada Alif, anggotanya gemes gemes"
"Bagaimana cara kelompokmu menyelesaikan konflik?","Menutup mulut maman"
"Apa nama proyek yang dikerjakan kelompokmu?","FX intelligence"
"Siapa yang bertugas sebagai programmer utama?","Muhammad Alif Hariyanto"
"Apa teknologi yang digunakan oleh kelompok ini?","HTML, CSS, JAVASCRIPT, CSV, python"
"Apa saja karakteristik anggota kelompok 3 rpl?","Alif - gemes, sopan, pemalu menghormati perempuan dan effort Rahmansyah - tidak mudah menyerah, bisa mengendalikan emosi, dan punya pemikiran kritis faris - ceria, GG geming, dan sopan Januar - jago main, sopan, dan ramah Tiyas - ramah, baik hati,dan tidak pernah berkata toxic Sarah - imut, gemes, lucu, pintar, rajin, friendly, dan ceria"
"Siapa pembuat dan pendiri FX Intelligence","FX Intelligence dibuat oleh pengembang FX Developer "
"Siapa CEO dari FX Intelligence","CEO dari FX Intelligence adalah Muhammad Alif Haryanto"
"Siapa pembuat Portofolio FX Intelligence","Portofolio FX Intelligence dibuat oleh anggota team dari kelompok 3 RPL yang ber anggotakan M.Alif Haryanto, Rahmansyah Genilang, Januar Aulia, Sarah Sbahirah, Tiyas Andini Sar"
"siapa ketua kelompok pembuat project ini dari kelompok 3 RPL","Ketua kelompok pada project pembuatan website adalah Muhammad Alif Haryanto S.GPT"
"Data apa yang digunakan oleh FX Intelligence","Data yang digunakan FX Intelligence adalah manual memakai format CSV"
"Siapa yang paling imut di kelompok 3","Sarah"
"Model apa yang dipakai untuk membuat gambar","Model yang dipakai untuk generate gambar menggunakan model yang di kembangkan oleh FX Developer yang bernama FX Intelligence IMG-PRO"
